Code,Name,Address,Postcode,Postcode nospace,URL,JSON,Council,Constituency,Ward,lat-lng
R1H90,Barkantine Birth Centre,"121 Westferry Road, Canary Wharf, London, E14 8JH",E14 8JH,E148JH,http://uk-postcodes.com/postcode/E148JH.json,"{""postcode"":""E14 8JH"",""geo"":{""lat"":51.50081430546868,""lng"":-0.025652594859384283,""easting"":537136.0,""northing"":179834.0,""geohash"":""http://geohash.org/gcpuzrmmfr85""},""administrative"":{""council"":{""title"":""Tower Hamlets"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E09000030"",""code"":""E09000030""},""ward"":{""title"":""Millwall"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E05000583"",""code"":""E05000583""},""constituency"":{""title"":""Poplar and Limehouse"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E14000882"",""code"":""E14000882""}}}",Tower Hamlets,Poplar and Limehouse,Millwall,"51.50081430546868,-0.025652594859384283"
R1H41,Barking Birth Centre,"Upney Lane, Barking, IG11 9LX",IG11 9LX,IG119LX,http://uk-postcodes.com/postcode/IG119LX.json,"{""postcode"":""IG11 9LX"",""geo"":{""lat"":51.53887056004136,""lng"":0.09868345820262135,""easting"":545644.0,""northing"":184306.0,""geohash"":""http://geohash.org/u10j4nrgemzd""},""administrative"":{""council"":{""title"":""Barking and Dagenham"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E09000002"",""code"":""E09000002""},""ward"":{""title"":""Longbridge"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E05000035"",""code"":""E05000035""},""constituency"":{""title"":""Barking"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E14000540"",""code"":""E14000540""}}}",Barking and Dagenham,Barking,Longbridge,"51.53887056004136,0.09868345820262135"
RAL26,Barnet Birth Centre,"Wellhouse Lane, Barnet, Hertfordshire, EN5 3DJ",EN5 3DJ,EN53DJ,http://uk-postcodes.com/postcode/EN53DJ.json,"{""postcode"":""EN5 3DJ"",""geo"":{""lat"":51.650990024145976,""lng"":-0.21552958924320575,""easting"":523550.0,""northing"":196196.0,""geohash"":""http://geohash.org/gcpvg4g0cf3k""},""administrative"":{""council"":{""title"":""Barnet"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E09000003"",""code"":""E09000003""},""ward"":{""title"":""Underhill"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E05000060"",""code"":""E05000060""},""constituency"":{""title"":""Chipping Barnet"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E14000636"",""code"":""E14000636""}}}",Barnet,Chipping Barnet,Underhill,"51.650990024145976,-0.21552958924320575"
RFFAA,Barnsley Birthing Centre (labour ward),"Gawber Road, Barnsley, South Yorkshire, S75 2EP",S75 2EP,S752EP,http://uk-postcodes.com/postcode/S752EP.json,"{""postcode"":""S75 2EP"",""geo"":{""lat"":53.55831654818641,""lng"":-1.4995631540023193,""easting"":433247.0,""northing"":406971.0,""geohash"":""http://geohash.org/gcwbtvupc9ud""},""administrative"":{""council"":{""title"":""Barnsley"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E08000016"",""code"":""E08000016""},""ward"":{""title"":""Old Town"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E05000988"",""code"":""E05000988""},""constituency"":{""title"":""Barnsley Central"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E14000541"",""code"":""E14000541""}}}",Barnsley,Barnsley Central,Old Town,"53.55831654818641,-1.4995631540023193"
RNS01,Barratt Birth Centre,"Cliftonville, Northampton, Northamptonshire, NN1 5BD",NN1 5BD,NN15BD,http://uk-postcodes.com/postcode/NN15BD.json,"{""postcode"":""NN1 5BD"",""geo"":{""lat"":52.23713392359911,""lng"":-0.8866726909234528,""easting"":476123.0,""northing"":260466.0,""geohash"":""http://geohash.org/gcr35v6r758c""},""administrative"":{""council"":{""title"":""Northampton"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E07000154"",""code"":""E07000154""},""county"":{""title"":""Northamptonshire"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E10000021"",""code"":""E10000021""},""ward"":{""title"":""Castle"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E05008828"",""code"":""E05008828""},""constituency"":{""title"":""Northampton South"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E14000862"",""code"":""E14000862""},""electoral_district"":{""title"":""Delapre and Rushmere"",""uri"":""http://data.ordnancesurvey.co.uk/id/7000000000007475"",""code"":""7000000000007475""}}}",Northampton,Northampton South,Castle,"52.23713392359911,-0.8866726909234528"
RNZ02,Beatrice Labour Ward,"Salisbury, Odstock Road, Wiltshire, SP2 8BJ",SP2 8BJ,SP28BJ,http://uk-postcodes.com/postcode/SP28BJ.json,"{""postcode"":""SP2 8BJ"",""geo"":{""lat"":51.043958422386304,""lng"":-1.7898084663770397,""easting"":414831.0,""northing"":127199.0,""geohash"":""http://geohash.org/gcndrk28w7w0""},""administrative"":{""council"":{""title"":""Wiltshire"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E06000054"",""code"":""E06000054""},""constituency"":{""title"":""Salisbury"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E14000912"",""code"":""E14000912""},""parish"":{""title"":""Britford"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E04011647"",""code"":""E04011647""}}}",Wiltshire,Salisbury,,"51.043958422386304,-1.7898084663770397"
RTFDH,Berwick midwife led unit,"Infirmary Square, Berwick-Upon-Tweed, Northumberland, TD15 1LT",TD15 1LT,TD151LT,http://uk-postcodes.com/postcode/TD151LT.json,"{""postcode"":""TD15 1LT"",""geo"":{""lat"":55.77339614102161,""lng"":-2.004597197215335,""easting"":399809.0,""northing"":653340.0,""geohash"":""http://geohash.org/gcyt63hr96xg""},""administrative"":{""council"":{""title"":""Northumberland"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E06000048"",""code"":""E06000048""},""constituency"":{""title"":""Berwick-upon-Tweed"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E14000554"",""code"":""E14000554""},""parish"":{""title"":""Berwick-upon-Tweed"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E04010744"",""code"":""E04010744""}}}",Northumberland,Berwick-upon-Tweed,,"55.77339614102161,-2.004597197215335"
RXR78,Blackburn Birth Centre,"Park Lee Road, Blackburn, Lancashire, BB2 3NX",BB2 3NX,BB23NX,http://uk-postcodes.com/postcode/BB23NX.json,"{""postcode"":""BB2 3NX"",""geo"":{""lat"":53.73393620353973,""lng"":-2.4833753147674194,""easting"":368209.0,""northing"":426502.0,""geohash"":""http://geohash.org/gcw1xmzwv5tn""},""administrative"":{""council"":{""title"":""Blackburn with Darwen"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E06000008"",""code"":""E06000008""},""ward"":{""title"":""Higher Croft"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E05001628"",""code"":""E05001628""},""constituency"":{""title"":""Blackburn"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E14000570"",""code"":""E14000570""}}}",Blackburn with Darwen,Blackburn,Higher Croft,"53.73393620353973,-2.4833753147674194"
RHU10,Blake Birthing Centre,"Bury Road, Gosport, Hampshire, PO12 3PW",PO12 3PW,PO123PW,http://uk-postcodes.com/postcode/PO123PW.json,"{""postcode"":""PO12 3PW"",""geo"":{""lat"":50.79307275234895,""lng"":-1.1480666119238645,""easting"":460142.0,""northing"":99624.0,""geohash"":""http://geohash.org/gcp0vys50553""},""administrative"":{""council"":{""title"":""Gosport"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E07000088"",""code"":""E07000088""},""county"":{""title"":""Hampshire"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E10000014"",""code"":""E10000014""},""ward"":{""title"":""Leesland"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E05004543"",""code"":""E05004543""},""constituency"":{""title"":""Gosport"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E14000713"",""code"":""E14000713""},""electoral_district"":{""title"":""Leesland and Town"",""uri"":""http://data.ordnancesurvey.co.uk/id/7000000000042912"",""code"":""7000000000042912""}}}",Gosport,Gosport,Leesland,"50.79307275234895,-1.1480666119238645"
RW602,Bluebell Birth Centre,"Delaunays Road, Crumpsall, Manchester, M8 5RB",M8 5RB,M85RB,http://uk-postcodes.com/postcode/M85RB.json,"{""postcode"":""M8 5RB"",""geo"":{""lat"":53.5178862266988,""lng"":-2.229471755176318,""easting"":384881.0,""northing"":402381.0,""geohash"":""http://geohash.org/gcw2mq8s3916""},""administrative"":{""council"":{""title"":""Manchester"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E08000003"",""code"":""E08000003""},""ward"":{""title"":""Crumpsall"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E05000698"",""code"":""E05000698""},""constituency"":{""title"":""Blackley and Broughton"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E14000571"",""code"":""E14000571""}}}",Manchester,Blackley and Broughton,Crumpsall,"53.5178862266988,-2.229471755176318"
RDZ20,Bournemouth Birth Centre,"Castle Lane East, Bournemouth, Dorset, BH7 7DW",BH7 7DW,BH77DW,http://uk-postcodes.com/postcode/BH77DW.json,"{""postcode"":""BH7 7DW"",""geo"":{""lat"":50.747484921800044,""lng"":-1.8204914327800723,""easting"":412760.0,""northing"":94224.0,""geohash"":""http://geohash.org/gcn8ww63e2z5""},""administrative"":{""council"":{""title"":""Bournemouth"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E06000028"",""code"":""E06000028""},""ward"":{""title"":""Littledown and Iford"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E05002120"",""code"":""E05002120""},""constituency"":{""title"":""Bournemouth East"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E14000584"",""code"":""E14000584""}}}",Bournemouth,Bournemouth East,Littledown and Iford,"50.747484921800044,-1.8204914327800723"
RBA11,Bracken Birth Centre,"Musgrove Park, Taunton, Somerset, TA1 5DA",TA1 5DA,TA15DA,http://uk-postcodes.com/postcode/TA15DA.json,"{""postcode"":""TA1 5DA"",""geo"":{""lat"":51.01197538377889,""lng"":-3.1197646018397776,""easting"":321541.0,""northing"":124218.0,""geohash"":""http://geohash.org/gcjf1n2q21qy""},""administrative"":{""council"":{""title"":""Taunton Deane"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E07000190"",""code"":""E07000190""},""county"":{""title"":""Somerset"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E10000027"",""code"":""E10000027""},""ward"":{""title"":""Bishop's Hull"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E05006858"",""code"":""E05006858""},""constituency"":{""title"":""Taunton Deane"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E14000988"",""code"":""E14000988""},""electoral_district"":{""title"":""Bishop's Hull and Taunton West"",""uri"":""http://data.ordnancesurvey.co.uk/id/7000000000010402"",""code"":""7000000000010402""}}}",Taunton Deane,Taunton Deane,Bishop's Hull,"51.01197538377889,-3.1197646018397776"
RAE01,Bradford Birth Centre,"Duckworth Lane, Bradford, West Yorkshire, BD9 6RJ",BD9 6RJ,BD96RJ,http://uk-postcodes.com/postcode/BD96RJ.json,"{""postcode"":""BD9 6RJ"",""geo"":{""lat"":53.80588495233733,""lng"":-1.7948643751379054,""easting"":413606.0,""northing"":434418.0,""geohash"":""http://geohash.org/gcwdp5j1bxuj""},""administrative"":{""council"":{""title"":""Bradford"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E08000032"",""code"":""E08000032""},""ward"":{""title"":""Toller"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E05001364"",""code"":""E05001364""},""constituency"":{""title"":""Bradford West"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E14000589"",""code"":""E14000589""}}}",Bradford,Bradford West,Toller,"53.80588495233733,-1.7948643751379054"
7A7BT,Brecon Birth Centre,"Cerrigcochion Rd., Brecon, Powys, LD3 7NS",LD3 7NS,LD37NS,http://uk-postcodes.com/postcode/LD37NS.json,"{""postcode"":""LD3 7NS"",""geo"":{""lat"":51.9490228474318,""lng"":-3.384800624292215,""easting"":304920.0,""northing"":228742.0,""geohash"":""http://geohash.org/gcjxdcp2brtx""},""administrative"":{""council"":{""title"":""Powys"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/W06000023"",""code"":""W06000023""},""constituency"":{""title"":""Brecon and Radnorshire"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/W07000068"",""code"":""W07000068""},""parish"":{""title"":""Brecon Commun"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/W04000255"",""code"":""W04000255""}}}",Powys,Brecon and Radnorshire,,"51.9490228474318,-3.384800624292215"
RXWMB,Bridgnorth Midwife Led Unit,"Northgate, Bridgnorth, Shropshire, WV16 4EU",WV16 4EU,WV164EU,http://uk-postcodes.com/postcode/WV164EU.json,"{""postcode"":""WV16 4EU"",""geo"":{""lat"":52.53790128653257,""lng"":-2.4214880964459016,""easting"":371508.0,""northing"":293421.0,""geohash"":""http://geohash.org/gcq6buhxrnxs""},""administrative"":{""council"":{""title"":""Shropshire"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E06000051"",""code"":""E06000051""},""constituency"":{""title"":""Ludlow"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E14000799"",""code"":""E14000799""},""parish"":{""title"":""Bridgnorth"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E04011228"",""code"":""E04011228""}}}",Shropshire,Ludlow,,"52.53790128653257,-2.4214880964459016"
RHM12,Broadlands Birth Centre,"Coxford Road, Southampton, Hampshire, SO16 5YA",SO16 5YA,SO165YA,http://uk-postcodes.com/postcode/SO165YA.json,"{""postcode"":""SO16 5YA"",""geo"":{""lat"":50.9352598184895,""lng"":-1.4348493445506068,""easting"":439808.0,""northing"":115242.0,""geohash"":""http://geohash.org/gcncz27pmsdg""},""administrative"":{""council"":{""title"":""City of Southampton"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E06000045"",""code"":""E06000045""},""ward"":{""title"":""Coxford"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E05002460"",""code"":""E05002460""},""constituency"":{""title"":""Southampton, Test"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E14000956"",""code"":""E14000956""}}}",City of Southampton,"Southampton, Test",Coxford,"50.9352598184895,-1.4348493445506068"
7A2AJ,Bronglais Consultant Led Unit,"Caradog Road, Aberystwyth, Ceredigion, SY23 1ER",SY23 1ER,SY231ER,http://uk-postcodes.com/postcode/SY231ER.json,"{""postcode"":""SY23 1ER"",""geo"":{""lat"":52.4160749348372,""lng"":-4.071563825276825,""easting"":259208.0,""northing"":281805.0,""geohash"":""http://geohash.org/gcm45q51v8tf""},""administrative"":{""council"":{""title"":""Ceredigion"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/W06000008"",""code"":""W06000008""},""constituency"":{""title"":""Ceredigion"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/W07000064"",""code"":""W07000064""},""parish"":{""title"":""Aberystwyth Commun"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/W04000359"",""code"":""W04000359""}}}",Ceredigion,Ceredigion,,"52.4160749348372,-4.071563825276825"
7A2AJ,Bronglais Midwife Led Unit,"Caradog Road, Aberystwyth, Ceredigion, SY23 1ER",SY23 1ER,SY231ER,http://uk-postcodes.com/postcode/SY231ER.json,"{""postcode"":""SY23 1ER"",""geo"":{""lat"":52.4160749348372,""lng"":-4.071563825276825,""easting"":259208.0,""northing"":281805.0,""geohash"":""http://geohash.org/gcm45q51v8tf""},""administrative"":{""council"":{""title"":""Ceredigion"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/W06000008"",""code"":""W06000008""},""constituency"":{""title"":""Ceredigion"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/W07000064"",""code"":""W07000064""},""parish"":{""title"":""Aberystwyth Commun"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/W04000359"",""code"":""W04000359""}}}",Ceredigion,Ceredigion,,"52.4160749348372,-4.071563825276825"
